q,letra q,Nom
quadrado,quadrado,Nom
quadril,quadril,Nom
quadro,quadro,Nom
qualidade,qualidade,Nom
quantidade,quantidade,Nom
quarto,quarto,Nom
quartzo,quartzo,Nom
queijo,queijo,Nom
queimadura,queimadura,Nom
queixo,queixo,Nom
queda,queda,Nom
quente,quente,Adjectif
querido,querido,Adjectif
questao,questão,Nom
quilo,quilo,Nom
quilometro,quilómetro,Nom
quimica,química,Nom
quimico,químico,Nom
quinta,quinta,Nom
quintal,quintal,Nom
quinze,quinze,Nombre
r,letra r,Nom
ra,rã,Nom
rabisco,rabisco,Nom
rabo,rabo,Nom
raça,raça,Nom
racao,ração,Nom
radar,radar,Nom
radio,rádio,Nom
rainha,rainha,Nom
raio,raio,Nom
raiva,raiva,Nom
raiz,raiz,Nom
ralador,ralador,Nom
ramo,ramo,Nom
rampa,rampa,Nom
ranchu,rancho,Nom
rapaz,rapaz,Nom
rapido,rápido,Adjectif
raposa,raposa,Nom
raro,raro,Adjectif
rato,rato,Nom
razao,razão,Nom
real,real,Adjectif
realidade,realidade,Nom
rebanho,rebanho,Nom
receita,receita,Nom
recheio,recheio,Nom
recibo,recibo,Nom
recreio,recreio,Nom
rede,rede,Nom
redea,rédea,Nom
redondo,redondo,Adjectif
referencia,referência,Nom
refletor,refletor,Nom
reflexo,reflexo,Nom
reforma,reforma,Nom
refugio,refúgio,Nom
regiao,região,Nom
registo,registo,Nom
regra,regra,Nom
regua,régua,Nom
rei,rei,Nom
reino,reino,Nom
relacao,relação,Nom
relampago,relâmpago,Nom
relatorio,relatório,Nom
relevo,relevo,Nom
religiao,religião,Nom
relogio,relógio,Nom
remedio,remédio,Nom
remo,remo,Nom
rena,rena,Nom
renda,renda,Nom
repolho,repolho,Nom
repouso,repouso,Nom
represa,represa,Nom
representason,representação,Nom
reptil,réptil,Nom
republica,república,Nom
reserva,reserva,Nom
resina,resina,Nom
respeito,respeito,Nom
respirason,respiração,Nom
resposta,resposta,Nom
resultado,resultado,Nom
resumo,resumo,Nom
retrato,retrato,Nom
reuniao,reunião,Nom
revista,revista,Nom
